Cited by,Source,Target
4897,1652,4062
4909,4166,4417
4914,3128,4261
4916,3969,4589
4916,3182,3969
4916,3969,4660
4916,3182,4589
4916,4589,4660
4916,3182,4660
4919,3560,3580
4919,841,3560
4919,841,3580
4925,4080,4584
4926,1520,3048
4961,1745,4456
4961,2055,4456
4961,4365,4456
4961,1745,2055
4961,1745,4365
4961,2055,4365
4968,1745,4606
4968,3662,4606
4968,1745,3662
4969,3025,4969
4975,2730,4417
4985,4125,4453
4992,2294,4552
4995,4257,4836
5000,3182,3495
5001,3043,4392
5011,3897,4376
5015,2947,4539
5015,2947,3935
5015,3935,4539
5017,3667,4808
5017,3667,3749
5017,3749,4808
5018,3357,3864
5019,4516,4544
5019,4470,4544
5019,4470,4516
5023,2914,4060
5023,2914,3363
5023,3363,4060
5030,3048,3506
5030,3048,3313
5030,3048,4686
5030,3313,3506
5030,3506,4686
5030,3313,4686
5031,3048,3313
5059,1636,2852
5059,2852,3112
5059,1636,3112
5060,1679,3584
5072,2882,3902
5073,1802,3893
5078,2092,3923
5078,3072,3923
5078,3923,4590
5078,2092,3072
5078,2092,4590
5078,3072,4590
5081,3335,4727
5082,3597,4609
5086,4114,4487
5086,4114,4516
5086,3902,4114
5086,4487,4516
5086,3902,4487
5086,3902,4516
5087,2857,2862
5101,2943,4325
5103,2808,4455
5114,3888,4216
5114,3881,4216
5114,3400,4216
5114,3881,3888
5114,3400,3888
5114,3400,3881
5129,3817,3882
5129,3817,3882
5129,3882,3882
5136,3575,4828
5139,1976,3907
5142,4340,4545
5148,3795,4123
5148,4123,4557
5148,3795,4557
5154,3916,4617
5157,1967,4185
5161,3266,4108
5163,3700,4313
5166,1102,3323
5177,2140,3204
5195,4132,4133
5205,1542,1666
5209,3496,3633
5209,2092,3633
5209,3633,3650
5209,1034,3633
5209,2092,3496
5209,3496,3650
5209,1034,3496
5209,2092,3650
5209,1034,2092
5209,1034,3650
5216,2980,4119
5222,3758,4907
5228,2187,2987
5228,2987,4287
5228,2187,4287
5233,2121,3372
5233,2121,2294
5233,2294,3372
5238,1866,3182
5238,1866,3495
5238,1866,4830
5238,3182,3495
5238,3182,4830
5238,3495,4830
5248,3297,5178
5248,2857,3297
5248,2857,5178
5268,3506,3536
5273,1556,2675
5273,2152,2675
5273,1556,2152
5274,4257,4468
5276,4089,4741
5279,3856,5029
5280,2725,3219
5285,1520,4926
5288,2054,3126
5288,2054,4591
5288,2054,2058
5288,3126,4591
5288,2058,3126
5288,2058,4591
5294,2059,2244
5298,2882,3309
5299,2975,3025
5300,4617,5153
5300,3856,4617
5300,3856,5153
5301,4439,5044
5303,4108,4715
5303,4108,5163
5303,4715,5163
5304,2092,3000
5304,2538,3000
5304,2685,3000
5304,3000,3843
5304,3000,3181
5304,2092,2538
5304,2092,2685
5304,2092,3843
5304,2092,3181
5304,2538,2685
5304,2538,3843
5304,2538,3181
5304,2685,3843
5304,2685,3181
5304,3181,3843
5305,1745,5078
5305,3266,5078
5305,4154,5078
5305,1745,3266
5305,1745,4154
5305,3266,4154
5324,3219,4321
5324,3182,3219
5324,3182,4321
5332,3667,4855
5332,4808,4855
5332,3667,4808
5339,4289,4995
5342,4996,5076
5345,4089,4717
5347,959,4467
5348,3732,3874
5348,3874,4293
5348,3874,4516
5348,3182,3874
5348,3732,4293
5348,3732,4516
5348,3182,3732
5348,4293,4516
5348,3182,4293
5348,3182,4516
5360,1672,4788
5385,2947,3667
5385,2947,4808
5385,2125,2947
5385,3667,4808
5385,2125,3667
5385,2125,4808
5388,1967,3148
5388,2759,3148
5388,1967,2759
5389,4066,4130
5389,4066,4489
5389,4130,4489
5404,3256,5072
5425,5071,5204
5429,3988,4125
5431,4074,4627
5431,4490,4627
5431,4627,5007
5431,4074,4490
5431,4074,5007
5431,4490,5007
5435,2636,2943
5452,3340,5452
5452,3335,5452
5452,3440,5452
5452,3335,3340
5452,3340,3440
5452,3335,3440
5463,3371,4321
5467,4874,4954
5467,4866,4874
5467,4866,4954
5479,1963,3182
5479,3182,4343
5479,1963,4343
5489,2882,3749
5490,3093,4798
5490,2231,4798
5490,2231,3093
5492,4348,4577
5499,4067,4511
5507,2857,4114
5507,2540,4114
5507,2540,2857
5512,3321,3676
5513,2091,4450
5516,2882,4108
5517,3902,4622
5519,2092,5001
5541,4466,5042
5548,4293,4409
5550,1895,5019
5551,1102,4204
5551,4204,5166
5551,1102,5166
5564,4577,5008
5564,4660,5008
5564,3969,5008
5564,4577,4660
5564,3969,4577
5564,3969,4660
5565,4656,4689
5565,3569,4689
5565,3569,4656
5568,3923,4466
5578,4125,4740
5583,2092,4261
5597,4687,4785
5598,3888,4687
5605,4725,4863
5605,3875,4725
5605,3875,4863
5621,3372,4992
5627,4038,4125
5627,4125,4292
5627,4038,4292
5631,3931,3988
5634,4201,5282
5643,2635,4888
5647,4329,4687
5655,3078,5166
5655,3856,5166
5655,5166,5301
5655,3078,3856
5655,3078,5301
5655,3856,5301
5661,669,5235
5664,3213,4329
5665,2857,5374
5669,1155,1890
5671,1398,2733
5675,3597,4591
5683,4556,5142
5685,3738,4727
5685,3738,5657
5685,3182,3738
5685,4727,5657
5685,3182,4727
5685,3182,5657
5686,506,4069
5687,2947,4927
5696,3902,4883
5703,4617,5318
5703,5318,5703
5703,4617,5703
5712,2759,3148
5740,3182,5716
5757,3654,4511
5761,3888,4687
5767,4257,5339
5767,4257,4567
5767,4567,5339
5770,4561,4591
5770,4258,4561
5770,4258,4591
5771,4617,5318
5778,3078,3506
5778,3506,5485
5778,3078,5485
5783,4133,4293
5786,3856,3902
5786,3599,3856
5786,3599,3902
5804,3182,4083
5813,4830,5326
5813,3495,5326
5813,3495,4830
5819,3323,4202
5819,3323,4937
5819,3323,4808
5819,4202,4937
5819,4202,4808
5819,4808,4937
5821,4937,5610
5833,4939,5242
5833,3888,4939
5833,3888,5242
5836,3489,5102
5836,3489,3736
5836,3736,5102
5849,1949,4193
5849,1949,3583
5849,3583,4193
5853,3042,3506
5869,3182,4687
5875,2857,5374
5875,4114,5374
5875,2857,4114
5876,2882,4968
5877,4617,5153
5879,5007,5560
5882,4420,4737
5882,3293,4737
5882,3293,4420
5900,4511,5498
5901,2780,3575
5917,3182,4425
5923,4693,4917
5926,4937,5114
5930,3569,5433
5940,3510,4125
5944,5395,5516
5944,5395,5517
5944,5516,5517
5946,2830,3531
5952,3744,4383
5952,4355,4383
5952,3744,4355
5957,2292,3969
5957,2292,4660
5957,2292,5007
5957,3969,4660
5957,3969,5007
5957,4660,5007
5962,2294,4993
5964,3297,5248
5964,3297,5178
5964,5178,5248
5967,3599,4232
5967,3599,3854
5967,3599,5517
5967,3854,4232
5967,4232,5517
5967,3854,5517
5969,4561,4561
5972,2180,2947
5976,4396,5305
5976,4627,5305
5976,4396,4627
5977,3745,3969
5987,4067,5498
5988,2920,2943
5988,2920,4074
5988,2943,4074
5997,4362,5039
6002,4445,4955
6012,2657,4042
6012,2657,4234
6012,4042,4234
6014,3053,4693
6015,3323,4077
6020,3489,3736
6054,4937,6207
6062,4515,4525
6062,3355,4525
6062,3355,4515
6070,4425,4687
6088,506,2416
6100,2636,4455
6116,2511,4937
6116,2511,4785
6116,4785,4937
6117,4329,5891
6123,3093,3417
6137,4417,5831
6138,5167,5342
6139,4927,5360
6139,4927,5477
6139,2029,4927
6139,5360,5477
6139,2029,5360
6139,2029,5477
6140,2092,5708
6145,3323,5333
6145,3323,4687
6145,3323,4937
6145,4687,5333
6145,4937,5333
6145,4687,4937
6148,3335,5685
6148,4727,5685
6148,5657,5685
6148,3335,4727
6148,3335,5657
6148,4727,5657
6154,5610,5928
6166,3030,4987
6172,3506,4686
6177,2540,2857
6181,4582,5989
6182,4036,5492
6182,4036,5744
6182,4036,5008
6182,5492,5744
6182,5008,5492
6182,5008,5744
6184,3182,5928
6184,1866,5928
6184,1866,3182
6185,3294,4567
6189,2350,3182
6192,4040,4532
6195,5535,5692
6195,3178,5692
6195,3178,5535
6199,5477,5762
6201,2983,5656
6207,5326,5918
6209,3738,4009
6225,5492,5744
6245,3882,4937
6246,3182,5943
6256,3154,3654
6256,3654,4180
6256,3154,4180
6268,3319,6207
6268,3319,6159
6268,3319,3882
6268,6159,6207
6268,3882,6207
6268,3882,6159
6282,4883,5696
6293,4937,5592
6293,5592,5891
6293,4937,5891
6300,1520,5657
6302,3182,4843
6302,4843,5628
6302,3182,5628
6303,1102,5166
6305,2322,4625
6305,3994,4625
6305,2322,3994
6312,4927,5687
6314,5496,5744
6314,5496,5710
6314,5710,5744
6315,3082,3107
6322,676,6388
6328,1907,5678
6338,3182,5758
6338,4512,5758
6338,5758,6225
6338,3182,4512
6338,3182,6225
6338,4512,6225
6342,2275,3078
6348,3638,4837
6348,2882,3638
6348,2882,4837
6354,2125,5509
6357,2092,5940
6359,4687,4894
6359,4687,5888
6359,4687,5986
6359,4687,5891
6359,4687,4883
6359,4894,5888
6359,4894,5986
6359,4894,5891
6359,4883,4894
6359,5888,5986
6359,5888,5891
6359,4883,5888
6359,5891,5986
6359,4883,5986
6359,4883,5891
6372,563,1204
6391,3293,4420
6394,4935,5834
6399,2934,4154
6403,5919,5928
6410,5326,5733
6418,3482,4204
6426,3182,5665
6427,154,5477
6427,154,3182
6427,154,3495
6427,3182,5477
6427,3495,5477
6427,3182,3495
6429,2634,4937
6451,1647,3054
6452,4083,4487
6458,1398,3667
6458,3667,4450
6458,3597,3667
6458,1398,4450
6458,1398,3597
6458,3597,4450
6471,4937,5928
6474,5241,5436
6476,3153,4876
6476,3153,5343
6476,4876,5343
6497,3506,4686
6498,5326,5517
6499,4396,4688
6511,3569,5930
6513,3178,3962
6515,4937,5812
6522,4948,5918
6523,4396,5942
6547,4918,5178
6555,4054,5526
6566,4927,6248
6566,3182,4927
6566,3182,6248
6571,5165,5477
6572,1610,3485
6575,1664,3178
6575,1664,2143
6575,2143,3178
6591,2822,4329
6602,1866,3182
6602,3182,3661
6602,1866,3661
6603,4067,5691
6603,4067,5478
6603,5478,5691
