id,PageRankRank,T0PRRank,T1PRRank,T2PRRank,T3PRRank,T4PRRank,T5PRRank,T6PRRank,T7PRRank,T8PRRank,T9PRRank
6644,359,937,6183,3758,6906,4533,207,5130,811,69,5842
734,360,6011,51,544,2045,5364,929,6288,2590,5716,1556
485,361,229,183,38,1603,182,5777,1684,2018,562,57
6486,362,193,6034,3910,6552,3926,6687,3882,376,251,5877
347,363,6010,127,5716,2594,7713,61,928,6445,4340,35
1559,364,1554,4759,1983,5557,388,136,6673,397,77,5774
3866,365,6087,4573,276,261,5972,1382,4947,65,3828,6651
3452,366,6035,4614,2347,1790,28,5820,1545,502,401,192
5282,367,1739,5512,44,5968,132,5752,1734,6687,332,5601
3932,368,462,5813,367,1261,1114,6201,1595,61,1654,5361
1398,369,6088,50,595,5778,530,5713,1248,6292,677,283
2683,370,6143,4645,433,164,401,219,24,2416,4989,176
6545,371,6167,119,5724,41,949,6043,219,4491,7297,2898
2744,372,72,5950,1065,6305,215,5933,1508,540,7357,2917
3552,373,965,6105,34,957,609,5679,1439,6142,2334,266
5305,374,1028,6120,420,5636,2622,7429,260,101,127,5795
6347,375,6166,4661,2299,5332,2840,8193,3237,126,181,5931
7190,376,6165,4662,2298,70,204,5940,1569,6677,4139,7356
3125,377,1451,46,5773,2300,375,167,8085,4290,6804,70
3967,378,1094,6294,840,65,5863,1771,1046,639,7674,2814
4132,379,6164,4664,2295,113,770,6260,667,104,3866,6674
4684,380,6163,4666,2316,5322,430,1121,6111,3439,63,5848
6637,381,129,5912,1079,6292,4167,7351,3063,351,54,1138
2449,382,1666,4843,2110,5176,2713,48,1513,226,114,94
2143,383,46,1471,4614,7208,407,124,7303,2223,4956,1917
4022,384,1681,4885,2125,1522,198,648,5677,1184,5828,1439
3213,385,1488,4817,2175,76,224,5925,1527,6118,2308,7693
2050,386,6162,191,770,6493,408,5601,2443,201,4546,64
6661,387,1584,4909,19,5930,2052,5125,1966,183,134,5791
4943,388,6161,4668,2331,5319,2800,41,1514,194,4660,1980
3408,389,945,6176,3718,110,5895,1674,4712,149,3328,8011
620,390,6160,62,1362,263,5970,1386,596,8100,3827,457
7235,391,227,6062,4043,6751,48,5809,1758,1919,385,5521
2231,392,947,6144,4015,824,844,6435,4101,386,245,121
636,393,6159,130,80,79,5859,1777,5,4126,6959,4144
3388,394,6158,4672,2338,469,5651,1692,4700,60,3626,6867
3844,395,6157,4673,280,207,715,409,5886,1965,608,6334
3050,396,1621,4933,2701,1665,62,5834,1567,6678,4138,869
2432,397,948,6089,1336,5162,2775,62,800,5859,955,14
2258,398,71,5951,3929,1115,88,5843,1510,6130,2298,7700
2977,399,1082,6304,1388,1444,221,5928,1532,273,143,5785
3567,400,6156,4674,2337,300,367,5572,2413,674,7726,2780
6457,401,234,6030,702,6319,43,5813,1772,1848,6387,3660
124,402,6155,67,5820,4224,7226,4240,7369,4982,2587,7459
4455,403,6154,4676,2334,69,5862,1772,4665,49,3662,6542
3929,404,1060,6268,124,5910,350,5589,2396,233,641,814
1074,405,209,333,5551,1225,97,5837,1542,802,6434,520
3124,406,306,78,445,5670,1434,169,7930,4261,6646,48
3118,407,173,6047,3897,6561,536,5738,1254,6288,74,5807
4933,408,6153,4677,2332,58,5866,1768,4662,2106,5301,2569
769,409,952,6114,546,217,1431,548,60,121,3918,808
3845,410,953,6113,20,5929,473,591,5958,602,800,6354
4379,411,6152,4678,2330,50,5868,1765,4638,123,3930,6628
7269,412,97,5877,1623,4937,136,5750,1707,6757,630,6319
3828,413,6151,70,5818,811,6308,626,5639,2903,5441,2216
3188,414,6150,32,977,6098,1817,5288,133,4967,2602,7446
1616,415,1590,4903,2084,1951,206,226,4672,537,7294,78
2382,416,83,5885,1522,4733,2324,7671,379,1215,390,5516
3724,417,189,6037,700,6321,4169,7376,3065,385,185,5929
4913,418,146,5897,55,5961,876,6348,4017,7975,328,5599
2992,419,113,5867,633,6374,292,5874,1596,63,1256,4993
230,420,6149,40,5777,895,6474,3665,6764,4393,1298,510
5273,421,1772,84,5808,4279,83,5846,1541,6651,4112,243
4279,422,6148,4638,2374,7742,597,52,1805,554,150,5866
172,423,1172,95,318,900,216,5932,61,1742,6202,172
4270,424,6147,4639,2373,1548,5030,39,1282,6212,149,5865
6349,425,955,6112,3994,6728,4503,49,1519,1131,257,5871
6621,426,216,6072,4034,6758,67,5856,1622,6629,4393,6981
5623,427,1330,5126,2449,7683,3060,8254,3395,520,91,5762
8086,428,6146,923,928,163,5810,449,896,1750,942,6030
1030,429,112,113,149,5894,359,5579,2406,5372,3067,155
4070,430,1342,5170,2409,135,5851,1724,4730,53,3665,6540
5197,431,6145,4641,2357,7751,3017,42,1582,6666,1132,4870
4851,432,290,6016,3870,6642,984,6056,1339,806,57,5852
5602,433,6168,4545,2270,139,143,5745,1715,6702,4091,191
2175,434,281,6025,35,5918,2061,5056,2026,77,3952,6610
521,435,151,5894,1540,4747,223,5926,1530,6116,117,652
2315,436,1441,4796,2152,461,94,5839,256,4470,7292,473
6798,437,6144,4642,2344,254,5979,1350,6199,173,3566,6919
1707,438,50,5968,105,5865,1963,5389,2353,5241,2512,7524
1922,439,1249,1151,6115,4596,7131,4272,238,4416,478,154
4227,440,6169,4432,7060,3700,6910,45,1638,6616,4377,6949
2215,441,1465,4832,1340,5147,626,690,5583,219,72,5823
2383,442,376,5689,199,6080,1176,6141,1062,638,131,571
2193,443,122,252,1113,6206,325,5893,1503,2341,5050,1164
8333,444,357,109,5728,2296,366,5573,2412,5391,3074,53
1047,445,518,1074,193,6030,1038,480,763,88,862,6061
3203,446,6171,4430,1150,6230,264,340,5940,3150,605,93
2484,447,1698,5179,2403,7778,3048,75,1830,6433,425,1106
2263,448,333,5700,136,2112,162,236,530,6929,4756,2122
4113,449,296,6010,95,5874,1897,5452,2300,5281,99,5758
364,450,6194,306,5878,156,513,281,86,3595,8173,3121
