affiliation,cited by count,first name,first name (orig),h-index,id,last name,last name (orig),subject areas
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60022095', 'affiliation-id': '60022095', 'affiliation-name': 'Taipei Medical University', 'affiliation-city': 'Taipei', 'affiliation-country': 'Taiwan'}",67.0,Yijie,Yijie,5.0,8691,Kuo,Guo,"[{'@abbrev': 'MEDI', '@frequency': '23', '$': 'Medicine (all)'}, {'@abbrev': 'BIOC', '@frequency': '7', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'ENGI', '@frequency': '5', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60082821', 'affiliation-id': '60082821', 'affiliation-name': 'Xiangya Hospital of Central-south University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}",5241.0,Honghao,Hao,41.0,8692,Zhou,Zhou,"[{'@abbrev': 'PHAR', '@frequency': '336', '$': 'Pharmacology, Toxicology and Pharmaceutics (all)'}, {'@abbrev': 'MEDI', '@frequency': '257', '$': 'Medicine (all)'}, {'@abbrev': 'BIOC', '@frequency': '256', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}]"
,,,Sathya Narayanan,,8693,,Ravi,
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60105988', 'affiliation-id': '60105988', 'affiliation-name': 'INRIA Saclay', 'affiliation-city': 'Palaiseau', 'affiliation-country': 'France'}",699.0,Frédéric,Frederic,20.0,8694,Chazal,Chazal,"[{'@abbrev': 'MATH', '@frequency': '95', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '62', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '12', '$': 'Engineering (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60013373', 'affiliation-id': '60013373', 'affiliation-name': 'INRIA Institut National de Recherche en Informatique et en Automatique', 'affiliation-city': 'Le Chesnay', 'affiliation-country': 'France'}",0.0,Ilaria,Ilaria,0.0,8695,Giulini,Giulini,"{'@abbrev': 'COMP', '@frequency': '3', '$': 'Computer Science (all)'}"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60001422', 'affiliation-id': '60001422', 'affiliation-name': 'Universite Pierre et Marie Curie', 'affiliation-city': 'Paris', 'affiliation-country': 'France'}",90.0,Bertrand,Bertrand,6.0,8696,Michel,Michel,"[{'@abbrev': 'MATH', '@frequency': '21', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '15', '$': 'Computer Science (all)'}, {'@abbrev': 'DECI', '@frequency': '4', '$': 'Decision Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60007278', 'affiliation-id': '60007278', 'affiliation-name': 'UC Irvine', 'affiliation-city': 'Irvine', 'affiliation-country': 'United States'}",520.0,Edwin Miles,Edwin,14.0,8697,Stoudenmire,Stoudenmire,"[{'@abbrev': 'PHYS', '@frequency': '25', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'MATE', '@frequency': '13', '$': 'Materials Science (all)'}, {'@abbrev': 'COMP', '@frequency': '3', '$': 'Computer Science (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60025778', 'affiliation-id': '60025778', 'affiliation-name': 'University Michigan Ann Arbor', 'affiliation-city': 'Ann Arbor', 'affiliation-country': 'United States'}",1331.0,David J.,David J.,29.0,8698,Schwab,Schwab,"[{'@abbrev': 'EART', '@frequency': '127', '$': 'Earth and Planetary Sciences (all)'}, {'@abbrev': 'ENVI', '@frequency': '73', '$': 'Environmental Science (all)'}, {'@abbrev': 'AGRI', '@frequency': '51', '$': 'Agricultural and Biological Sciences (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/113446502', 'affiliation-id': '113446502', 'affiliation-name': 'Ionformatics, LLC', 'affiliation-city': 'Lawrenceville', 'affiliation-country': 'United States'}",1038.0,James Alexander,James,16.0,8699,Atwood,Atwood,"[{'@abbrev': 'BIOC', '@frequency': '31', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'CHEM', '@frequency': '12', '$': 'Chemistry (all)'}, {'@abbrev': 'MEDI', '@frequency': '7', '$': 'Medicine (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60004089', 'affiliation-id': '60004089', 'affiliation-name': 'University of the District of Columbia', 'affiliation-city': 'Washington', 'affiliation-country': 'United States'}",33.0,Omid Massoud,Massoud,2.0,87,Omidvar,Omidvar,"[{'@abbrev': 'COMP', '@frequency': '10', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '10', '$': 'Engineering (all)'}, {'@abbrev': 'PHYS', '@frequency': '5', '$': 'Physics and Astronomy (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60015481', 'affiliation-id': '60015481', 'affiliation-name': 'University of Washington, Seattle', 'affiliation-city': 'Seattle', 'affiliation-country': 'United States'}",219.0,Tim J.,Tim,2.0,870,Hunkapiller,Hunkapiller,"[{'@abbrev': 'BIOC', '@frequency': '38', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'MULT', '@frequency': '11', '$': 'Multidisciplinary'}, {'@abbrev': 'MEDI', '@frequency': '6', '$': 'Medicine (all)'}]"
