row_id,id,topics
176,1170.0,"[(1, 1), (9, 1)]"
177,1171.0,"[(4, 11), (0, 6), (2, 1), (3, 1)]"
178,1172.0,"[(0, 1), (1, 1)]"
179,1173.0,"[(0, 6), (7, 4), (2, 2), (3, 1), (4, 1)]"
180,1174.0,"[(4, 4), (7, 3), (3, 3), (2, 1), (9, 1)]"
181,1175.0,"[(4, 2), (0, 1)]"
182,1176.0,"[(1, 1)]"
183,1177.0,"[(1, 2), (9, 2), (6, 1)]"
184,1178.0,"[(1, 1)]"
185,1179.0,"[(1, 1), (3, 1)]"
186,118.0,"[(1, 2), (3, 2)]"
187,1180.0,"[(1, 1), (3, 1)]"
188,1181.0,"[(3, 1), (6, 1)]"
189,1182.0,"[(3, 1), (6, 1)]"
190,1183.0,"[(7, 8), (3, 6), (4, 5), (2, 3), (6, 2), (1, 1), (5, 1), (9, 1)]"
191,1184.0,"[(1, 1), (2, 1)]"
192,1185.0,"[(1, 12), (2, 8), (0, 2), (9, 1), (8, 1)]"
193,1186.0,"[(6, 2), (1, 1)]"
194,1187.0,"[(1, 1), (6, 1)]"
195,1188.0,"[(3, 18), (4, 13), (6, 10), (5, 9), (9, 8), (7, 4), (2, 3), (1, 1), (0, 1)]"
196,1189.0,"[(5, 5), (3, 3), (1, 2)]"
197,119.0,"[(1, 1)]"
198,1190.0,"[(3, 1)]"
199,1191.0,"[(3, 1)]"
200,1192.0,"[(1, 1)]"
201,1193.0,"[(1, 1)]"
202,1194.0,"[(1, 1)]"
203,1195.0,"[(1, 1)]"
204,1196.0,"[(3, 5), (0, 3), (1, 3), (2, 1), (8, 1)]"
205,1197.0,"[(9, 3), (3, 2), (4, 2)]"
206,1198.0,"[(3, 2), (2, 1), (7, 1)]"
207,1199.0,"[(2, 1), (3, 1)]"
208,12.0,"[(1, 6), (2, 1), (3, 1)]"
209,120.0,"[(1, 1)]"
210,1200.0,"[(0, 9), (2, 8), (1, 5), (8, 1), (4, 1), (9, 1)]"
211,1201.0,"[(4, 11), (7, 9), (3, 7), (9, 6), (0, 6), (1, 2), (5, 2), (8, 2), (2, 1)]"
212,1202.0,"[(1, 1)]"
213,1203.0,"[(1, 1)]"
214,1204.0,"[(1, 1)]"
215,1205.0,"[(1, 1)]"
216,1206.0,"[(1, 1)]"
217,1207.0,"[(1, 1), (3, 1)]"
218,1208.0,"[(0, 1), (1, 1)]"
219,1209.0,"[(0, 1), (1, 1)]"
220,121.0,"[(3, 40), (4, 19), (1, 12), (7, 9), (6, 5), (5, 3), (0, 3), (2, 1), (9, 1), (8, 1)]"
221,1210.0,"[(1, 2), (3, 2)]"
222,1211.0,"[(1, 1), (2, 1)]"
223,1212.0,"[(1, 1), (2, 1)]"
224,1213.0,"[(1, 1), (8, 1)]"
225,1214.0,"[(2, 2), (6, 1), (7, 1)]"
226,1215.0,"[(9, 2), (3, 1)]"
227,1216.0,"[(1, 1), (8, 1)]"
228,1217.0,"[(3, 1), (6, 1)]"
229,1218.0,"[(1, 1), (6, 1)]"
230,1219.0,"[(6, 2), (3, 1)]"
231,122.0,"[(1, 3), (6, 2), (3, 1), (4, 1), (9, 1)]"
232,1220.0,"[(1, 1), (6, 1)]"
233,1221.0,"[(1, 2), (0, 2), (4, 2), (6, 1), (2, 1)]"
234,1222.0,"[(1, 2)]"
235,1223.0,"[(1, 1)]"
236,1224.0,"[(1, 1)]"
237,1225.0,"[(1, 1)]"
238,1226.0,"[(1, 1), (3, 1)]"
239,1227.0,"[(1, 2), (3, 2)]"
240,1228.0,"[(3, 2), (5, 1)]"
241,1229.0,"[(0, 1)]"
242,123.0,"[(1, 1), (5, 1)]"
243,1230.0,"[(0, 1), (1, 1)]"
244,1231.0,"[(1, 1)]"
245,1232.0,"[(1, 1)]"
246,1233.0,"[(1, 1)]"
247,1234.0,"[(1, 2)]"
248,1235.0,"[(1, 2), (3, 2), (6, 1)]"
249,1236.0,"[(1, 2), (3, 1), (9, 1)]"
250,1237.0,"[(0, 1), (3, 1)]"
251,1238.0,"[(0, 1), (3, 1)]"
252,1239.0,"[(0, 1), (3, 1)]"
253,124.0,"[(1, 5)]"
254,1240.0,"[(1, 1)]"
255,1241.0,"[(9, 2), (5, 1)]"
256,1242.0,"[(1, 1), (6, 1)]"
257,1243.0,"[(1, 2), (3, 2)]"
258,1244.0,"[(1, 2), (2, 1), (3, 1)]"
259,1245.0,"[(1, 1), (6, 1), (7, 1)]"
260,1246.0,"[(1, 1)]"
261,1247.0,"[(1, 1), (9, 1)]"
262,1248.0,"[(1, 2), (3, 1)]"
263,1249.0,"[(1, 1), (9, 1)]"
