id,cluster
1204,72
1205,78
1206,27
1207,18
1208,7
1209,82
121,73
1210,63
1211,35
1212,57
1213,53
1214,17
1215,71
1216,28
1217,41
1218,77
1219,11
122,55
1220,64
1221,69
1222,78
1223,62
1224,28
1225,63
1226,57
1227,9
1228,52
1229,32
123,66
1230,3
1231,75
1232,64
1233,72
1234,69
1235,5
1236,55
1238,45
1239,55
124,66
1240,34
1241,7
1242,58
1243,75
1244,82
1245,72
1247,21
1248,9
1249,78
125,7
1250,69
1251,5
1252,69
1253,8
1254,63
1255,78
1256,72
1257,63
1258,69
1259,35
126,79
1260,41
1261,71
1262,78
1263,27
1264,34
1265,82
1266,68
1267,14
1268,64
1269,32
127,35
1270,66
1271,63
1272,63
1273,32
1274,82
1275,68
1276,72
1277,73
1278,3
1279,35
128,77
1280,69
1281,7
1282,75
1283,24
1284,53
1285,69
1286,77
1287,82
1288,48
1289,59
129,68
1290,8
1291,59
1292,72
1293,71
1294,6
1295,41
1296,6
1297,32
1298,75
1299,54
13,73
130,74
1301,82
1302,54
1303,68
1304,73
1305,82
1306,63
1307,79
1308,36
1309,64
131,8
1310,76
1311,42
1312,73
1313,69
1314,66
1315,83
1316,37
1317,28
1318,36
1319,82
132,82
1320,67
1321,59
1322,8
1323,69
1324,53
1325,42
1326,3
1327,46
1328,23
1329,56
133,75
1330,82
1331,59
1332,59
1333,9
1334,59
1335,69
1336,8
1337,8
1338,8
1339,24
134,66
1340,43
1341,35
1342,17
1343,5
1344,71
1345,74
1346,45
1347,45
1348,69
1349,54
135,68
1350,71
1351,6
1352,57
1353,5
1354,53
1355,68
1356,76
1357,7
1358,69
1359,35
136,71
1360,78
1361,71
1362,3
1363,41
1364,57
1365,6
1366,5
1367,78
1368,52
1369,68
137,78
1370,75
1371,78
1372,2
1373,63
1374,82
1375,45
1376,53
1377,74
1378,57
1379,34
138,75
1380,34
1381,77
1382,26
1383,32
1384,3
1385,66
1386,28
1387,53
1388,48
1389,49
139,57
1390,63
1391,73
1392,63
1393,49
1394,45
1395,8
1396,75
1397,43
1398,53
1399,57
14,71
140,71
1400,78
1401,83
1402,64
1403,76
1404,32
1405,69
1406,54
1407,26
1408,24
1409,3
141,55
1410,48
1411,78
1412,81
1413,63
1414,76
1415,74
1416,57
1417,72
1418,43
1419,13
142,68
1420,3
1421,61
1422,24
1423,48
1424,53
1425,66
1426,71
1427,28
1429,72
143,7
1430,3
1431,43
1432,75
1433,67
1434,77
1435,62
1436,63
1437,53
1438,72
1439,6
144,78
1440,63
1441,72
1442,73
1443,53
1444,64
1445,61
1446,53
1447,3
1449,77
145,72
1450,61
1452,63
1453,21
1454,39
1455,57
1456,24
1457,2
1458,83
1459,67
146,69
1460,59
1461,83
1462,79
1463,45
1464,64
1465,32
1466,5
1467,75
1468,49
1469,76
147,61
1470,48
1471,78
1472,71
1473,7
1474,46
1475,11
1476,52
1477,83
1478,14
1479,34
148,75
1480,64
1481,43
1482,76
1483,18
1484,37
1485,4
1486,77
1487,29
1488,54
1489,78
149,67
1490,33
1491,2
1492,48
1493,83
1494,8
1495,69
1496,77
1497,18
1498,57
1499,76
15,78
150,7
1500,18
1501,64
1502,77
1503,4
1504,61
1505,54
1506,57
1507,45
1508,27
1509,3
151,79
1510,83
1511,27
1512,36
1513,23
1514,3
1515,72
1516,61
1517,72
1518,82
1519,63
152,77
1520,2
1521,24
1522,27
1523,14
1525,24
1526,82
1527,58
1528,77
1529,75
153,61
1530,53
1531,32
1532,64
1533,76
1534,57
1535,34
