id,PageRankScore,T0PRScore,T1PRScore,T3PRScore,T5PRScore,T6PRScore,T7PRScore,T9PRScore,T10PRScore,T13PRScore,T14PRScore,T15PRScore,T16PRScore,T17PRScore,T18PRScore,T19PRScore,PageRankRank,T0PRRank,T1PRRank,T3PRRank,T5PRRank,T6PRRank,T7PRRank,T9PRRank,T10PRRank,T13PRRank,T14PRRank,T15PRRank,T16PRRank,T17PRRank,T18PRRank,T19PRRank
1853,0.0011107006274610229,9.440659471066516e-05,0.00030610759315008364,0.0002867820993277838,0.00019487935875668857,0.0006904516310442148,0.0006923591578826203,0.0011014726670694505,0.0013624955071979386,7.56655680790344e-05,0.00045215431478011687,0.00016591080912354121,8.496775442807955e-05,0.0006580658436643787,0.0025382977559577167,0.0007585645018735712,13,5670,1015,1034,534,111,87,31,5,5668,639,992,5904,96,3,74
121,0.0011084504302966893,0.0005786691969992375,0.00013589868903770191,0.00013080093783773548,0.0003007722577272503,0.00025137558039013485,0.0014312818424624197,0.002159098865117789,7.313870252085908e-05,0.0010563433090570679,0.0033129728416329625,7.262156609649681e-05,0.0009356441117861308,6.482113851154247e-05,0.002079469710461683,0.0012839292635306323,14,186,1712,1355,524,1305,14,3,5777,30,1,4444,21,5764,5,20
2852,0.0011018335237552646,9.440659471066516e-05,0.002367526344364175,0.0004750626001804928,0.0004809643121893687,0.0008406271837230353,7.540575820653681e-05,0.0003900264973258845,0.0022993352309331667,7.56655680790344e-05,7.21409706019723e-05,0.001376765603542393,0.0003184813357613953,6.482113851154247e-05,6.693474580860542e-05,0.0006212235125220662,15,5669,3,241,435,63,5769,578,1,1046,5943,6,598,6284,3987,130
3161,0.0010587486835880754,0.0005786691969992375,0.0009819623424837606,0.0013082217705479911,0.0005550289209300747,0.0007681157411063412,7.540575820653681e-05,0.00025186723190132564,0.00035070381553128184,7.56655680790344e-05,7.21409706019723e-05,0.0009843211496492774,0.0005374005843795165,6.482113851154247e-05,6.693474580860542e-05,0.0006534695745826715,16,182,54,20,139,79,5726,1188,802,5758,1538,22,355,5475,2365,115
3758,0.0010202632369892928,9.440659471066516e-05,0.000836385834292619,0.000645595855146959,8.977483942455356e-05,0.00220403286108917,7.540575820653681e-05,0.0005806695996835599,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0012398036813836266,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,17,5668,71,111,680,2,6979,151,5739,1398,4912,9,5690,1452,4537,1561
632,0.0009823997961547171,9.440659471066516e-05,5.4433026550707303e-05,0.00040502226876967774,8.977483942455356e-05,0.0006600727802192604,0.0017877545936786086,0.0005446702406979892,0.0004663166618087378,0.0013598411583811444,0.00015568406038944226,7.262156609649681e-05,0.0001825072003634855,0.003464155595587371,0.0001585109214555022,0.000388833794296668,18,5667,2401,638,5652,122,5,185,563,13,996,6064,636,2,1176,683
3555,0.0009756029325066379,9.440659471066516e-05,0.0017155160597956904,0.0016660834346122573,8.977483942455356e-05,0.0010866183508415844,7.540575820653681e-05,6.042897592889118e-05,0.001049846501447003,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,0.0004457730858232786,19,5666,9,6,5628,30,5735,6118,14,945,6278,351,5465,2300,7649,301
2784,0.0009246050330512972,0.0006480829997668379,0.0013569141278978877,0.0006608110025476886,0.0016741301408090916,0.000898318244452829,7.540575820653681e-05,0.0003900264973258845,0.0007430405494601891,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,0.00042366500349455045,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,20,39,23,105,1,53,5778,582,51,1006,6008,1634,518,5632,2294,7722
2587,0.0009078538465106661,0.0005786691969992377,0.00035168364276787694,0.0011470441363622325,8.977483942455356e-05,5.504313711100556e-05,0.002497626293957213,6.042897592889118e-05,0.0004663166618087376,0.00252356194980228,7.21409706019723e-05,7.262156609649681e-05,8.496775442807955e-05,0.000489928556757502,6.693474580860542e-05,0.0003604597898142463,21,139,660,25,5686,2694,1,7143,648,2,6967,4198,6906,224,5927,742
54,0.0009070330732966022,0.001981971485552094,5.4433026550707303e-05,0.00040502226876967774,8.977483942455356e-05,0.00035878866371425084,0.0012992485485595606,0.0006559631812733596,0.000400091433079847,0.0010020936189605706,0.0011545942312918115,7.262156609649681e-05,0.0005374005843795165,0.002733225580715509,0.0007003663039197614,0.0006278793655641953,22,2,7314,645,1105,643,17,105,762,38,24,5738,303,3,73,129
3862,0.0008992886668547081,9.440659471066516e-05,5.4433026550707303e-05,0.0013466224810391037,8.977483942455356e-05,0.00046553411080656497,7.540575820653681e-05,0.0011285354340609915,0.0004663166618087378,0.0008596739554237873,7.21409706019723e-05,0.00046345078448377527,8.496775442807955e-05,6.482113851154247e-05,0.0006233297291705928,0.001266159436439211,23,5665,2399,16,673,259,5844,30,456,52,5786,378,5378,2634,107,22
4483,0.0008873326314973351,9.440659471066516e-05,0.0006459490327037227,0.0005770070712408736,0.0005386563224446665,0.0006921415798745827,7.540575820653681e-05,0.0006247232881676049,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.00046345078448377527,8.496775442807955e-05,6.482113851154247e-05,0.0015116113467123125,0.001381298794093041,24,5664,132,161,391,110,5668,118,5700,3759,6433,500,5587,1398,10,18
1410,0.0008654714008572952,9.440659471066516e-05,0.001885702570238995,0.0006636137051454495,0.0005550289209300747,0.0008213434987812392,7.540575820653681e-05,0.0008344724334393372,0.00021847657887823633,7.56655680790344e-05,0.0004607809409051867,0.00013575893904093676,0.0004289950817240626,6.482113851154247e-05,6.693474580860542e-05,0.0003274505014804413,25,5662,7,103,101,67,5765,61,959,5650,467,999,513,5637,1262,827
937,0.0008634865341392961,9.440659471066516e-05,0.00035168364276787694,0.0004530749059122282,0.0006021586520580355,0.00035878866371425084,0.000949120648599892,0.0014738581501372143,0.0004663166618087378,0.000739666087774484,7.21409706019723e-05,0.0006206503891622169,8.496775442807955e-05,0.0004594229370147695,0.0005781694331746329,0.0004457730858232783,26,5648,816,268,77,786,38,10,530,79,5771,126,5635,259,148,543
2458,0.0008502464700716323,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,5.504313711100556e-05,7.540575820653681e-05,0.0021914071433007023,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,0.0005374005843795165,6.482113851154247e-05,0.0021075553517591996,6.946043492708545e-05,27,5661,2394,5932,4767,4764,1624,1,1569,4491,2221,7699,262,5860,4,5809
2416,0.0008244445781315324,9.440659471066516e-05,0.002224494104269027,6.307962172545298e-05,0.0014489742506007004,0.0006449966682174682,7.540575820653681e-05,0.0008728504607123658,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,0.0007043599718044025,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,6.946043492708545e-05,28,5660,5,5765,3,127,5717,53,5795,1385,4924,80,5697,1443,4544,1620
3292,0.0008184948668010954,9.440659471066516e-05,5.4433026550707303e-05,6.307962172545298e-05,8.977483942455356e-05,0.00046474382145430106,7.540575820653681e-05,0.0013165369860089623,0.0006635830966202749,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,8.496775442807955e-05,0.0002640764106404966,0.0030186686993135957,6.946043492708545e-05,29,5659,2382,1846,2028,265,5839,19,83,6074,1435,4468,1925,1035,1,4522
3840,0.0008151124061886686,9.440659471066516e-05,0.00035168364276787694,0.0014772533230606314,0.0012062290175007633,5.504313711100556e-05,7.540575820653681e-05,0.001474726854112583,7.313870252085908e-05,7.56655680790344e-05,7.21409706019723e-05,7.262156609649681e-05,0.0005374005843795165,6.482113851154247e-05,0.0008459248491576752,0.000924935967549189,30,5658,639,13,8,5968,1175,9,5774,1099,6105,1481,250,5872,44,49
709,0.0008149979740679502,9.440659471066516e-05,0.0006906948381258334,0.00031650138634896726,8.977483942455356e-05,0.0004606347616788264,0.0005645265420321987,6.042897592889118e-05,7.313870252085908e-05,0.0016191565618100534,0.0004607809409051867,7.262156609649681e-05,8.496775442807955e-05,6.482113851154247e-05,6.693474580860542e-05,0.002380218340049135,31,5657,107,931,1199,271,138,1629,4689,7,504,5602,802,6347,3930,3
