row_id,id,topics
169,1153,"[(3, 0.31642654810053811), (4, 0.48653459524777054)]"
170,1154,"[(1, 0.47290762505886463), (6, 0.31026401277396498)]"
171,1155,"[(1, 0.27255998873094806), (4, 0.59461159723326662)]"
172,1156,"[(1, 0.63190940542254881), (2, 0.27125886315787023)]"
173,1157,"[(1, 0.87752798036571789)]"
174,1158,"[(1, 0.95045331966378355)]"
175,1159,"[(1, 0.27714767108761557), (3, 0.21727149009577013), (9, 0.50445801434608784)]"
176,116,"[(1, 0.61210257327347561), (8, 0.23468756775311886)]"
177,1160,"[(2, 0.29723958800433586), (6, 0.69679540302222154)]"
178,1161,"[(0, 0.31086814858777811), (7, 0.29807024043278141)]"
179,1162,"[(1, 0.69260268746063369)]"
180,1163,"[(1, 0.58414270194621221), (2, 0.38905103535341135)]"
181,1164,"[(1, 0.54614135278912701), (9, 0.27787911444665525)]"
182,1165,"[(4, 0.24315006099532252), (9, 0.42132603609732622)]"
183,1166,"[(1, 0.21549410986715506), (4, 0.2893433892991088), (6, 0.37778373548767952)]"
184,1167,"[(4, 0.54711595118945489), (9, 0.24723927688471412)]"
185,1168,"[(3, 0.95246397580175524)]"
186,1169,"[(1, 0.23788951159951427), (5, 0.75553799382044662)]"
187,1170,"[(1, 0.47333170208471942), (3, 0.27330479050886819), (7, 0.21704514638246578)]"
188,1171,"[(2, 0.21033260071238558), (7, 0.53467961512823925)]"
189,1172,"[(6, 0.39568914248714143), (8, 0.27499400992172834)]"
190,1173,"[(1, 0.9158894547558083)]"
191,1174,"[(6, 0.41235287667557219)]"
192,1175,"[(3, 0.34773572318462981), (9, 0.38452715071511212)]"
193,1176,"[(1, 0.37119936692855227), (3, 0.206463561891605), (4, 0.22026102637820383)]"
194,1177,"[(1, 0.74456515325589845)]"
195,1178,"[(1, 0.84229535929330579)]"
196,1179,"[(0, 0.61218224110832453), (9, 0.33970204525498943)]"
197,118,"[(1, 0.73744709504829886)]"
198,1180,"[(3, 0.92206670128181878)]"
199,1181,"[(0, 0.4632922039935502), (1, 0.38001554711892527)]"
200,1182,"[(0, 0.44603523303588821), (1, 0.23797512762333656), (3, 0.30665661855627635)]"
201,1183,"[(0, 0.25612662904582489), (1, 0.48338155068531047), (8, 0.2384434707701667)]"
202,1184,"[(0, 0.7963750534019145)]"
203,1185,"[(5, 0.54311819798665151), (9, 0.29236800676152497)]"
204,1186,"[(3, 0.38496741615925467), (7, 0.28159493221067255)]"
205,1187,"[(0, 0.59947311042098506), (7, 0.20041971013411153)]"
206,1188,"[(1, 0.50791172689924291), (3, 0.25196352437426783), (9, 0.23923811186052324)]"
207,1189,"[(0, 0.61645248470972369)]"
208,119,"[(1, 0.44499296744622868), (3, 0.24203290605140126)]"
209,1190,"[(0, 0.39720769870509731), (1, 0.44383763862221043)]"
210,1191,"[(0, 0.55015395805950684), (4, 0.36702479369429808)]"
211,1192,"[(1, 0.62171918190599829)]"
212,1193,"[(1, 0.27842715111255023), (3, 0.60030417317031393)]"
213,1194,"[(8, 0.46641605237123784)]"
214,1195,"[(1, 0.66001385263816625)]"
215,1196,"[(1, 0.61675540132613749), (3, 0.36439889206747633)]"
216,1197,"[(0, 0.61655767223409697), (1, 0.21652112482550837)]"
217,1198,"[(0, 0.33085074577235113), (1, 0.28226066706538661)]"
218,1199,"[(1, 0.67424343770645911), (9, 0.30118961144537215)]"
219,12,"[(1, 0.44891749288132821), (9, 0.51164025720395578)]"
220,120,"[(1, 0.76862772951588554)]"
221,1200,"[(1, 0.908903943857017)]"
222,1201,"[(0, 0.29881274474871911), (2, 0.49411243986336356)]"
223,1202,"[(0, 0.31880018672707888), (9, 0.45658058315524513)]"
224,1203,"[(0, 0.62771765064024276)]"
225,1204,"[(0, 0.42159528321828099), (1, 0.22778705255036677), (8, 0.34544222024137056)]"
226,1205,"[(1, 0.91068460045976718)]"
227,1206,"[(1, 0.65805028581427916)]"
228,1207,"[(4, 0.58456931285086311)]"
229,1208,"[(0, 0.43840733585989622)]"
230,1209,"[(1, 0.93901140949707962)]"
231,121,"[(1, 0.87210287288321675)]"
232,1210,"[(0, 0.27048928604514744), (1, 0.20374706926239874), (2, 0.40747509554286093)]"
233,1211,"[(9, 0.65285033064635101)]"
234,1212,"[(1, 0.22405253362082683), (3, 0.59049702790936975)]"
235,1213,"[(1, 0.69812767680609289)]"
236,1214,"[(0, 0.2487578355018624), (7, 0.50544823704614528)]"
237,1215,"[(1, 0.63437240223653113)]"
238,1216,"[(1, 0.41646166742536089), (5, 0.48423456290905614)]"
239,1217,"[(4, 0.84244421536989056)]"
240,1218,"[(0, 0.24021859745447857), (4, 0.6199374010483677)]"
241,1219,"[(1, 0.2153770814859339), (8, 0.42412718495551588)]"
242,122,"[(1, 0.67141436414728262)]"
243,1220,"[(0, 0.31628537363450399), (1, 0.2124499500481204), (4, 0.4419946650075946)]"
244,1221,"[(3, 0.55805777176223004), (5, 0.36103626117512272)]"
245,1222,"[(1, 0.89005085360117919)]"
246,1223,"[(3, 0.67257224554728545)]"
247,1224,"[(5, 0.79216489433686732)]"
248,1225,"[(0, 0.42220440803083542), (1, 0.50055226211488613)]"
249,1226,"[(1, 0.5055793363014307), (3, 0.48145907220007922)]"
250,1227,"[(1, 0.47099756126033854), (8, 0.46194448781953118)]"
251,1228,"[(1, 0.35943583179914129), (5, 0.56904443040409591)]"
252,1229,"[(5, 0.74945937549255881)]"
253,123,"[(1, 0.28499455706276072), (2, 0.50087806735160312)]"
254,1230,"[(5, 0.98184134011645252)]"
255,1231,"[(0, 0.23684221657113932), (1, 0.33548158196970623), (3, 0.41613980191547928)]"
256,1232,"[(0, 0.58987556540153252), (4, 0.2973215591853946)]"
257,1233,"[(1, 0.49314086902901311), (9, 0.27609704087339298)]"
258,1234,"[(2, 0.74838402860359354)]"
259,1235,"[(1, 0.38053867192668805), (9, 0.48960139014300907)]"
260,1236,"[(1, 0.29483871415518143), (3, 0.49815086305951356)]"
261,1238,"[(0, 0.30517894075702928), (2, 0.41127423582686728), (7, 0.27607277444662731)]"
262,1239,"[(1, 0.54122746078368011)]"
263,124,"[(1, 0.8239113363277224)]"
264,1240,"[(5, 0.36594095225786316), (6, 0.39679464140427473)]"
265,1241,"[(2, 0.36369541374749698), (4, 0.21246870474585391)]"
266,1242,"[(1, 0.37534751492917945), (7, 0.54950418640902465)]"
267,1243,"[(1, 0.55995392481627626), (2, 0.43667865326313388)]"
268,1244,"[(1, 0.69816513499278576), (9, 0.29753201800214163)]"
269,1245,"[(0, 0.25333694879773011), (5, 0.34004165288753424), (9, 0.27898341679239408)]"
270,1247,"[(6, 0.33952905810917322), (7, 0.27149502642786461), (9, 0.2803565069713243)]"
271,1248,"[(0, 0.33334987402134797), (1, 0.39582582792281207), (8, 0.26747889130499486)]"
272,1249,"[(1, 0.72770104507518274)]"
273,125,"[(1, 0.46605821423993748), (7, 0.32246621087327992)]"
274,1250,"[(3, 0.87497433847640294)]"
275,1251,"[(0, 0.23943374620146221), (9, 0.54985243346266333)]"
276,1252,"[(3, 0.49120637263391503), (9, 0.39923865937624958)]"
277,1253,"[(0, 0.22658172482794464), (7, 0.48985263937291229)]"
278,1254,"[(0, 0.4825657101354518), (1, 0.24144656014887203), (9, 0.20177979465045889)]"
279,1255,"[(1, 0.85410347378651041)]"
280,1256,"[(1, 0.53589057138114471), (2, 0.38485321601441858)]"
281,1257,"[(1, 0.35573372023308208), (8, 0.4765685400774734)]"
282,1258,"[(1, 0.35460843428319261), (3, 0.51698295632468516)]"
283,1259,"[(1, 0.41852161836442653), (7, 0.21057509036733127), (8, 0.24013459700582493)]"
284,126,"[(1, 0.96347708513698527)]"
285,1260,"[(2, 0.29085169925706061), (7, 0.62409625443089578)]"
286,1261,"[(1, 0.26870504737619488), (4, 0.62373708524956628)]"
287,1262,"[(1, 0.3643679211606724), (9, 0.62252592078260971)]"
288,1263,"[(4, 0.60075897745234519)]"
289,1264,"[(4, 0.54832063510213214), (5, 0.22523731027133187)]"
290,1265,"[(1, 0.76926174270579128), (9, 0.22969179648235194)]"
291,1266,"[(1, 0.35144009633474638), (3, 0.53549634027606807)]"
292,1267,"[(5, 0.36478822994222027)]"
293,1268,"[(0, 0.62162295824984459), (1, 0.35554457629669156)]"
294,1269,"[(5, 0.65315275507313009), (8, 0.30491746374305467)]"
295,127,"[(1, 0.51297995245898975), (4, 0.39831568491025182)]"
296,1270,"[(0, 0.31588743971217492), (3, 0.42085161940884103)]"
297,1271,"[(1, 0.55803827127720784), (8, 0.23182619509779762)]"
298,1272,"[(4, 0.83161285148715602)]"
